微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
［泰国不只有白百合，还有热巴、杨幂和王菲，为什么明星钟爱泰国？］http://t.cn/RXVRHgL ?,2017-04-17 11:00,微博 weibo.com,http://weibo.com/1878452871/EETOgjqPo,旅游卫视中国旅游新闻,87906,女,北京,媒体认证,原创,,,,,
20万产品经理居然一本正经的研究了情趣酒店的选址、装修等问题[摊手][摊手][摊手]发布了头条文章：《在这里，“摸臀杀”只是小儿科》 #白百合出轨# http://t.cn/RXVRTV3 ?,2017-04-17 10:59,微博 weibo.com,http://weibo.com/1742570801/EETObB9pL,PMCAFF,31596,女,北京,团体认证,原创,,,,,
"#白百合离婚声明#  健全的家庭结构对子女起到积极的促进作用，不健全的家庭结构分为两种：1，虽然保持着夫妻关系但是情感破裂的家庭，他们相互攻击谩骂对子女造成潜移默化影响
2单亲或者残缺家庭：过于保护或者漠视造成孩子性格上的缺陷 ?",2017-04-17 10:41,专业版微博,http://weibo.com/5747328512/EETGDhunS,预医到家,2051,女,安徽 合肥,企业认证,原创,,,,,
【羊铁君赏版】白百合与陈羽凡已经协议离婚2年了？人生如戏，全靠演技 ?,2017-04-17 10:30,微博 weibo.com,http://weibo.com/1689041330/EETC5kcI3,羊城地铁报,1243324,男,广东 广州,媒体认证,原创,,,,,
//@励志的话: 好看哟，推荐给大家阅读！[赞][赞],2017-04-17 10:12,微博 weibo.com,http://weibo.com/2714693260/EETuShwCr,失恋疗心话,320414,女,福建 福州,普通用户,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
白百何发表声明， 对这件事给陈羽凡、孩子以及双方父母造成的影响感到抱歉。  http://t.cn/RXV0EDt //@直播南京官方版:陈羽凡凌晨回应近期事件：2015就与白百合协议离婚，将无限时退出娱乐圈。//@直播南京官方版:陈羽凡凌晨回应近期事件：2015就与白百合协议离婚，将无限时退出娱乐圈。,2017-04-17 09:46,iPhone 6s,http://weibo.com/1807431510/EETkotBjQ,直播南京官方版,2538922,男,江苏 南京,媒体认证,转发,善爱为本度此生[心]感恩爱我的所有人～'涛哥'一直在！All for love… http://t.cn/RX5Xe5y . ?,iPhone 7 Plus,2017-04-16 01:47,陈羽凡,http://weibo.com/2113045567/EEGLn6ydW
//@励志的话:好看哟，推荐给大家阅读！[赞][赞],2017-04-17 09:20,iPhone 6s Plus,http://weibo.com/2764572100/EET9Xk5gn,暗恋砖家,1112051,女,海外,普通用户,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
//@励志的话:好看哟，推荐给大家阅读！[赞][赞],2017-04-17 09:03,iPhone 6s Plus,http://weibo.com/2293172422/EET2PjQX9,全球搞笑趣事,1026950,女,广东,名人认证,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
//@思想禅师:好看哟，推荐阅读！[赞][赞],2017-04-17 08:58,iPhone客户端,http://weibo.com/2851148220/EET133mMa,伤感笔记,781490,女,湖南,名人认证,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
#白百合离婚声明##陈羽凡白百何离婚#这两天都是这个热点，赚足了眼球，还都在相互道歉，下一步将如何发展？复合？祝好？拭目以待…… ?,2017-04-17 08:48,Android客户端,http://weibo.com/1883742987/EESWL7FkS,熄灭了,101187,男,上海 黄浦区,名人认证,原创,,,,,
