微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
//@刘力博士: 对流氓行经必须维权//@Bleepingtree:支持乐天，支持这家做正当生意的韩国企业。[赞][赞][赞]……,2017-03-06 23:59,微博 weibo.com,http://weibo.com/1867099473/EyAXNddQl,张洲,653596,男,其他,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
乐天 玛特，这几天沸沸扬扬。,2017-03-06 23:57,OPPO R9s,http://weibo.com/2123798095/EyAX20fjJ,一横一竖先生,44227,男,广东,名人认证,转发,因为韩国说要部署萨德，国人开始抵制乐天！如果韩国部署了萨德，大家猜会是什么结果？[思考] ​,OPPO R7s Plus,2017-03-06 01:42,周李城,http://weibo.com/2109287495/Eysda2Mgg
//@雷颐: //@静娅_://@漫游者粒子: 转发微博,2017-03-06 23:53,360安全浏览器,http://weibo.com/1418036855/EyAVohIdb,眠琴山房,2184672,男,北京 朝阳区,名人认证,转发,据说抵制乐天发端于东北，作为土生土长的东北人我无法理解。别的地区抵制也就罢了，反正自己远离危险。抵制韩国是老太太吃柿子，专拣软的捏（真有本事真牛逼你抵制美国啊，始作俑者难道不是美制萨德？）。爱国就像是中头彩，不爱白不爱。但是东北人抵制韩国图啥呢？朝鲜每次核爆炸边境境这边都有震感，...全文： http://m.weibo.cn/1063890337/4082132869996418 ​,iPhone 6s Plus,2017-03-06 02:49,洪峰,http://weibo.com/1063890337/EysEmFWwy
#韩国部署萨德# 【乐天让地“萨德”之后，中国人怒了！】自韩国乐天集团同意与韩军方“交换”用地部署萨德后，乐天集团遭到了中国民众的集体抵制。  http://t.cn/RiNK8zn ​,2017-03-06 23:48,专业版微博,http://weibo.com/1823184085/EyATsF2kV,美国侨报网,148014,男,海外 美国,媒体认证,原创,,,,,
 //@静娅_://@漫游者粒子: 转发微博,2017-03-06 23:43,iPhone 6s,http://weibo.com/1045529987/EyARq8y9P,雷颐,3651921,男,北京 丰台区,名人认证,转发,据说抵制乐天发端于东北，作为土生土长的东北人我无法理解。别的地区抵制也就罢了，反正自己远离危险。抵制韩国是老太太吃柿子，专拣软的捏（真有本事真牛逼你抵制美国啊，始作俑者难道不是美制萨德？）。爱国就像是中头彩，不爱白不爱。但是东北人抵制韩国图啥呢？朝鲜每次核爆炸边境境这边都有震感，...全文： http://m.weibo.cn/1063890337/4082132869996418 ​,iPhone 6s Plus,2017-03-06 02:49,洪峰,http://weibo.com/1063890337/EysEmFWwy
韩国乐天集团旗下零食： 好丽友；好友趣；好多鱼；呀土豆；木糖醇3+口香糖；蘑古力；薯愿、小熊饼干。抵制乐天是正确的选择，韩国已经同意萨德部署，日本也会紧跟其后，如果菲律宾也同意的话 ，萨德就会把中国围成一个圈，那以后中国的一举一动在美国人面前都像没穿衣服的人一样，被看的清清楚楚，中国...全文： http://m.weibo.cn/1807717673/4082447601538798 ​,2017-03-06 23:40,三星 GALAXY S6 edge+,http://weibo.com/1807717673/EyAQ06sjk,演员傅大勇,14311,男,北京,名人认证,原创,,,,,
[赞],2017-03-06 23:39,华为P9手机摄影再突破,http://weibo.com/1044065881/EyAPIDfJr,唐亮,920748,男,北京 崇文区,名人认证,转发,【乐天会长说中国人没骨气？我们反对韩国部署，也需要辨别这些谣言】在当前的舆论环境下，与韩国相关的谣言很容易在互联网上获得传播。我们坚决反对韩国部署萨德，因为这损害了中国的根本利益，但我们也呼吁大家理性爱国，随时擦亮眼睛，不要信谣、不传谣。 http://t.cn/RiNtRto ​,iPhone 7 Plus,2017-03-06 22:45,新京报,http://weibo.com/1644114654/EyAtO22Pw
//@深夜走过长安街001:微信没法看，时常遇见多少年的弱智老谣都还在有人传。[笑cry] //@手术刀_李医生: 曾在微信中告知是假新闻，传的更疯狂，邪性。微信的朋友圈盛产谣言。,2017-03-06 23:34,三星GALAXY A,http://weibo.com/1682087151/EyANH7s4B,水兵李铭,17531,男,上海 松江区,名人认证,转发,《乐天董事长说中国人没骨气？这条假新闻咋产生》http://t.cn/RiCSgkt——— 那话一看就是有人故意编的呀，跟前几年流传的希拉里说中国人的段子一样，外国人编不出来，一看就是出自国人之手。居然也有人真信。邪性。 ​,微博 weibo.com,2017-03-06 22:20,深夜走过长安街001,http://weibo.com/5051675817/EyAjL5xmm
对流氓行经必须维权//@Bleepingtree:支持乐天，支持这家做正当生意的韩国企业。[赞][赞][赞]……,2017-03-06 23:30,华为P8,http://weibo.com/1708242847/EyAMcyp7T,刘力博士,661003,男,北京 海淀区,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
造谣可耻！,2017-03-06 23:30,iPad mini,http://weibo.com/1904509253/EyAM1CiIx,行者孙凯,50535,男,上海 徐汇区,名人认证,转发,被人抹黑，乐天不乐。 ​,iPhone 6,2017-03-06 23:07,周泽律师,http://weibo.com/1272651680/EyACzpvCD
